feature,mean_abs_shap_minutes
num__hist_train_delay,19.99563629063698
num__departure_delay_minutes,9.816804716403702
num__hist_train_ontime_pct,4.158394370375476
num__cos_month,2.5400170834982005
num__dest_weather_temperature_c,2.3389148189668876
num__total_distance_km,1.8634962628084015
num__scheduled_speed_kmh,1.765210742265985
num__rake_delay_pressure,1.7031886931073263
cat__zone_SER,1.671083390234225
num__hist_zone_ontime_pct,1.3462099010982747
num__scheduled_travel_hours,1.304661521717588
num__stations_crossed_count,1.284650544961175
cat__season_Winter,1.0356639667473644
num__weather_temperature_c,0.9053740509735793
num__weather_surface_pressure_hpa,0.899848960285063
num__avg_stop_spacing_km,0.8950388229716046
num__hist_zone_delay,0.8630450733071443
num__total_halts,0.8524356404082232
num__route_progress_ratio,0.8436847946678935
num__sin_month,0.8130591193433669
num__stops_per_100km,0.6333436203492413
num__late_incoming_rake,0.5383251627374318
cat__season_Monsoon,0.48535561182718506
num__is_weekend,0.3912425778331608
cat__zone_SECR,0.36989408731824647
num__weather_wind_gust_kmh,0.32135918654820667
num__cos_hour,0.3158035391818838
num__weather_wind_speed_kmh,0.31369137745935943
cat__train_type_PASS-TRAINS,0.28687844624378095
cat__zone_CR,0.28198688895349927
num__dest_is_fog_risk,0.27588618525593167
cat__zone_NFR,0.23761756011740756
num__weather_disruption_score,0.2290655759069565
num__weather_humidity_pct,0.20721297258054866
cat__season_Summer,0.20621595276819213
num__dest_weather_rain_mm,0.17180849159456385
num__sin_hour,0.16969099707283547
cat__zone_NR,0.16241404920037336
cat__train_type_EXP-TRAINS,0.1573568673087347
cat__train_type_PRM-TRAINS,0.14075278320772586
cat__zone_ECOR,0.11445221385550418
cat__season_Post-Monsoon,0.0845520842377972
cat__zone_NER,0.07783980151738168
cat__zone_SCR,0.06157610995851649
num__weather_rain_mm,0.05854659149214073
cat__zone_ECR,0.058428769475720004
cat__train_type_RAJ-TRAINS,0.04107800708213987
cat__weather_condition_category_Clear,0.025395933405388434
num__is_hdn_zone,0.02321512788675245
cat__zone_SWR,0.020594274693392964
cat__zone_NCR,0.01958181133558067
num__weather_visibility_km,0.018689185489582105
cat__zone_ER,0.018684074547006622
cat__zone_NWR,0.01571038674354883
cat__weather_condition_category_Cloudy,0.008172346611792038
cat__train_type_SF-TRAINS,0.007169521811870651
cat__train_type_GRB-TRAINS,0.006684761624937654
cat__zone_WCR,0.0062984677560462615
cat__zone_WR,0.005327347927994374
cat__zone_SR,0.004533407874878754
cat__train_type_SHT-TRAINS,0.0038289792959949097
cat__weather_condition_category_Rain,0.0035875918156481083
num__is_raining,0.0020750042715300967
cat__zone_KR,0.0009708489935715397
cat__weather_condition_category_Heavy Rain,0.0001613510214396243
num__is_fog_risk,0.0
num__is_heavy_rain,0.0
cat__weather_condition_category_Fog,0.0
num__is_low_visibility,0.0
